| Communications | Philippines |
| --- | --- |
| Telephones - main lines in use: | 3.905 million (2008) |
| Telephones - mobile cellular: | 68.102 million (2008) |
| Telephone system: | general assessment: good international radiotelephone and submarine cable services; domestic and interisland service adequate |
| Telephone system: | domestic: domestic satellite system with 11 earth stations; cellular communications now dominate the industry; combined fixed-line and mobile-cellular telephone density about 80 telephones per 100 persons |
| Telephone system: | international: country code - 63; a series of submarine cables together provide connectivity to Asia, US, the Middle East, and Europe; multiple international gateways (2008) |
| Radio broadcast stations: | AM 381, FM 628, shortwave 4 (2007) |
| Television broadcast stations: | 250 (plus 1,501 CATV networks) (2007) |
| Internet country code: | .ph |
| Internet hosts: | 283,607 (2009) |
| Internet users: | 5.618 million (2008) |
