| Communications | Singapore |
| --- | --- |
| Telephones - main lines in use: | 1.984 million (2010) |
| Telephones - mobile cellular: | 7.307 million (2010) |
| Telephone system: | general assessment: excellent service |
| Telephone system: | domestic: excellent domestic facilities; launched 3G wireless service in February 2005; combined fixed-line and mobile-cellular teledensity is more than 180 telephones per 100 persons |
| Telephone system: | international: country code - 65; numerous submarine cables provide links throughout Asia, Australia, the Middle East, Europe, and US; satellite earth stations - 4; supplemented by VSAT coverage (2008) |
| Broadcast media: | state controls broadcast media; 8 domestic TV stations operated by MediaCorp, wholly owned by a state investment company; broadcasts from Malaysian and Indonesian stations available; satellite dishes banned; multi-channel cable TV service is accessible; a total of 18 domestic radio stations broadcasting with MediaCorp operating more than a dozen and another 4 stations are closely linked to the ruling party or controlled by the Singapore Armed Forces Reservists Association; large number of Malaysian and Indonesian radio stations are available (2008) |
| Internet country code: | .sg |
| Internet hosts: | 992,786 (2010) |
| Internet users: | 3.235 million (2009) |
