| Communications | Denmark |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 1,017,009 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 17.41 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 7,331,110 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 125.5 (2019 est.) |
| Telecommunication systems: | general assessment: excellent telephone and Internet services; Denmark's competitive telecom market has led to the country having the second highest broadband penetration rate in Europe;Â the fixed-line sector continues to see a decline in revenue while customers move to VoIP (Voice over Internet Protocol) and mobile alternatives; comprehensive LTE coverage and a fast-developing 5G segment;Â the government is able to offer broadband coverageÂ in rural areas (2020) |
| Telecommunication systems: | domestic: fixed-line 17 per 100, 126 per 100 for mobile-cellular (2019) |
| Telecommunication systems: | international: country code - 45; landing points for the NSC, COBRAcable, CANTAT-3, DANICE, Havfrue/AEC-2, TAT-14m Denmark-Norway-5 &Â 6, Skagenfiber West &Â East, GC1,Â GC2, GC3, GC-KPN, Kattegat 1 &Â 2 &Â 3, Energinet Lyngsa-Laeso,Â Energinet Laeso-Varberg, Fehmarn Balt, Baltica, German-Denmark 2 & 3, Ronne-Rodvig, Denmark-Sweden 15 & 16 & 17 & 18, IP-Only Denmark-Sweden, ScandinavianÂ South, Scandinavian Ring North, Danica North, 34Â series of fiber-optic submarine cables link Denmark with Canada, Faroe Islands, Germany, Iceland, Netherlands, Norway, Poland, Russia, Sweden, US and UK; satellite earth stations - 18 (6 Intelsat, 10 Eutelsat, 1 Orion, 1 Inmarsat (Blaavand-Atlantic-East)); note - the Nordic countries (Denmark, Finland, Iceland, Norway, and Sweden) share the Danish earth station and the Eik, Norway, station for worldwide Inmarsat access (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | strong public-sector TV presence with state-owned Danmarks Radio (DR) operating 6 channels and publicly owned TV2 operating roughly a half-dozen channels; broadcasts of privately owned stations are available via satellite and cable feed; DR operates 4 nationwide FM radio stations, 10 digital audio broadcasting stations, and 14 web-based radio stations; 140 commercial and 187 community (non-commercial) radio stations (2019) |
| Internet country code: | .dk |
| Internet users: | total: 5,672,398 |
| Internet users: | percent of population: 97.64% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 2,534,348 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 44 (2018 est.) |
