| Communications | Virgin Islands |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 76,000 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 73 (July 2016 est.) |
| Telephone system: | general assessment: modern system with total digital switching, uses fiber-optic cable and microwave radio relay; good interisland and international connections; broadband access; expansion ofÂ FttP (Fiber to the Home) markets; LTE launches; regulatory development (2018) |
| Telephone system: | domestic: full range of services available; fixed-line 73 per 100 persons (2018) |
| Telephone system: | international: country code - 1-340; submarine cable connections to US, the Caribbean, Central and South America; satellite earth stations - NA |
| Broadcast media: | about a dozen TV broadcast stations including 1 public TV station; multi-channel cable and satellite TV services are available; 24 radio stations |
| Internet country code: | .vi |
| Internet users: | total: 57,000 |
| Internet users: | percent of population: 54.8% (July 2016 est.) |
