| Communications | Kyrgyzstan |
| --- | --- |
| Telephones - main lines in use: | 502,200 (2010) |
| Telephones - mobile cellular: | 4.9 million (2010) |
| Telephone system: | general assessment: telecommunications infrastructure is being upgraded; loans from the European Bank for Reconstruction and Development (EBRD) are being used to install a digital network, digital radio-relay stations, and fiber-optic links |
| Telephone system: | domestic: fixed-line penetration remains low and concentrated in urban areas; multiple mobile-cellular service providers with growing coverage; mobile-cellular subscribership exceeded 80 per 100 persons in 2009 |
| Telephone system: | international: country code - 996; connections with other CIS countries by landline or microwave radio relay and with other countries by leased connections with Moscow international gateway switch and by satellite; satellite earth stations - 2 (1 Intersputnik, 1 Intelsat); connected internationally by the Trans-Asia-Europe (TAE) fiber-optic line |
| Broadcast media: | state-run television broadcaster operates 2 nationwide networks and 6 regional stations; roughly 20 private TV stations operating with most rebroadcasting other channels; state-run radio broadcaster operates 2 networks; about 20 private radio stations operating (2007) |
| Internet country code: | .kg |
| Internet hosts: | 97,976 (2010) |
| Internet users: | 2.195 million (2009) |
