| Communications | Sierra Leone |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 2,586 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 5,569,221 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 86.13 (2019 est.) |
| Telecommunication systems: | general assessment: the stability in the country has led to international investment; telecom regulator continues to improve the market; telephone service improving with the expansion of the mobile sector; mobile-cellular service has grown rapidly from a small base, overcoming the deficiencies of the fixed-line sector; mobile sector has a high penetration; regulator approves 27% price increase for mobile voice calls; LTE launched in 2018 to compete with state owned almost monopoly on fixed-line (2020) |
| Telecommunication systems: | domestic: fixed-line less than 1 per 100 and mobile-cellular 86 per 100 (2019) |
| Telecommunication systems: | international: country code - 232; landing point for the ACE submarine cable linking to South Africa, over 20 western African countries and Europe; satellite earth station - 1 Intelsat (Atlantic Ocean) (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | 1Â government-owned TV station;Â 3 private TV stations; a pay-TV service began operations in late 2007;Â 1 government-owned national radio station; about two-dozen private radio stations primarily clustered in major cities; transmissions of several international broadcasters are availableÂ  |
| Broadcast media: | (2019) |
| Internet country code: | .sl |
| Internet users: | total: 568,099 |
| Internet users: | percent of population: 9% (July 2018 est.) |
