| Communications | Georgia |
| --- | --- |
| Telephones - main lines in use: | 618,000 (2008) |
| Telephones - mobile cellular: | 2.755 million (2008) |
| Telephone system: | general assessment: fixed-line telecommunications network has only limited coverage outside Tbilisi; long list of people waiting for fixed line connections; multiple mobile-cellular providers provide services to an increasing subscribership throughout the country |
| Telephone system: | domestic: cellular telephone networks now cover the entire country; mobile-cellular teledensity approaching 75 per 100 people; urban fixed-line telephone density is about 20 per 100 people; rural telephone density is about 4 per 100 people; intercity facilities include a fiber-optic line between T'bilisi and K'ut'aisi; nationwide pager service is available |
| Telephone system: | international: country code - 995; the Georgia-Russia fiber optic submarine cable provides connectivity to Russia; international service is available by microwave, landline, and satellite through the Moscow switch; international electronic mail and telex service are available |
| Radio broadcast stations: | AM 7, FM 12, shortwave 4 (1998) |
| Television broadcast stations: | 12 (plus repeaters) (1998) |
| Internet country code: | .ge |
| Internet hosts: | 104,243 (2009) |
| Internet users: | 1.024 million (2008) |
