| Communications | Timor-Leste |
| --- | --- |
| Telephones - main lines in use: | 3,000 (2012) |
| Telephones - mobile cellular: | 621,000 (2012) |
| Telephone system: | general assessment: rudimentary service in urban and some rural areas, which is expanding with the entrance of new competitors |
| Telephone system: | domestic: system suffered significant damage during the violence associated with independence; limited fixed-line services; mobile-cellular services have been expanding and are now available in urban and most rural areas |
| Telephone system: | international: country code - 670; international service is available (2012) |
| Broadcast media: | 1 public TV broadcast station broadcasting nationally and 1 public radio broadcaster with stations in each of the 13 administrative districts; 1 commercial TV broadcast station, 3 commercial radio stations, and roughly 20 community radio stations (2012) |
| Internet country code: | .tl |
| Internet hosts: | 252 (2012) |
| Internet users: | 2,100 (2009) |
