| Communications | Andorra |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 44,050 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 51.41 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 97,645 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 113.96 (2019 est.) |
| Telecommunication systems: | general assessment: modern automatic telephone system; broadband Internet andÂ LTE mobile lines for both consumer and enterprise customers available (2019) |
| Telecommunication systems: | domestic: 51 per 100 fixed-line, 113 per 100 mobile-cellular (2019) |
| Telecommunication systems: | international: country code - 376; landline circuits to France and Spain; modern system with microwave radio relay connections between exchanges (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | 1 public TV station and 2 public radio stations; about 10 commercial radio stations; good reception of radio and TV broadcasts from stations in France and Spain; upgraded to terrestrial digital TV broadcasting in 2007; roughly 25 international TV channels available (2019) |
| Internet country code: | .ad |
| Internet users: | total: 78,483 |
| Internet users: | percent of population: 91.57% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 35,663 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 42 (2018 est.) |
