| Communications | Mauritius |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 413,100 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 30 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 1,839,500 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 136 (2017 est.) |
| Telephone system: | general assessment: small system with good service; LTE and fiber broadband service are available; government building a national Wi-Fi network; partial privatization of biggest telecommunications company, open to competition (2018) |
| Telephone system: | domestic: fixed-line teledensity roughly 30 per 100 persons; mobile-cellular servicesÂ  teledensity approaching 136 per 100 persons (2018) |
| Telephone system: | international: country code - 230; landing points for the SAFE, MARS, IOX Cable System, METISSÂ Â and LION submarine cable system that provides links to Asia, Africa, Southeast Asia, Indian Ocean Islands of Reunion, Madagascar, and Mauritius; satellite earth station - 1 Intelsat (Indian Ocean); new microwave link to Reunion; HF radiotelephone links to several countries (2019) |
| Broadcast media: | the government maintains control over TV broadcasting through the Mauritius Broadcasting Corporation (MBC), which only operates digital TV stations since June 2015; MBC is a shareholder in a local company that operates 2 pay-TV stations; the state retains the largest radio broadcast network with multiple stations; several private radio broadcasters have entered the market since 2001; transmissions of at least 2 international broadcasters are available (2019) |
| Internet country code: | .mu |
| Internet users: | total: 717,618 |
| Internet users: | percent of population: 53.2% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 246,000 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 18 (2017 est.) |
