| Communications | Romania |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 3.89 million |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 18 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 22.55 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 105 (2017 est.) |
| Telephone system: | general assessment: the telecommunications sector is being expanded and modernized; domestic and international service improving rapidly, especially mobile-cellular services; competition among a number of telecoms; LTE services; 1Gb/FttP offering; government secures EU funding to extend broadband to areas of the country not yet connected (2018) |
| Telephone system: | domestic: fixed-line teledensity is aboutÂ 18 telephones per 100 persons; mobile market served by four mobile network operators; mobile-cellular teledensity over 105 telephones per 100 persons (2018) |
| Telephone system: | international: country code - 40; landing point for the Diamond Link Global submarine cable linking Romania with Georgia; satellite earth stations - 10; digital, international, direct-dial exchanges operate in Bucharest (2019) |
| Broadcast media: | a mixture of public and private TV stations; there are 7 public TV stations (2 national, 5 regional) using terrestrial broadcasting and 187 private TV stations (out of which 171 offer local coverage) using terrestrial broadcasting, plus 11 public TV stations using satellite broadcasting and 86 private TV stations using satellite broadcasting; state-owned public radio broadcaster operates 4 national networks and regional and local stations, having in total 20 public radio stations by terrestrial broadcasting plus 4 public radio stations by satellite broadcasting; there are 502 operational private radio stations using terrestrial broadcasting and 26 private radio stations using satellite broadcasting |
| Internet country code: | .ro |
| Internet users: | total: 12,852,696 |
| Internet users: | percent of population: 59.5% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 4.78 million |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 22 (2017 est.) |
