| Communications | LUXEMBOURG |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 276,900 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 49 (July 2015 est.) |
| Telephones - mobile cellular: | total: 807,000 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 141 (July 2015 est.) |
| Telephone system: | general assessment: highly developed, completely automated and efficient system, mainly buried cables |
| Telephone system: | domestic: fixed-line teledensity about 50 per 100 persons; nationwide mobile-cellular telephone system with market for mobile-cellular phones virtually saturated |
| Telephone system: | international: country code - 352 (2015) |
| Broadcast media: | Luxembourg has a long tradition of operating radio and TV services for pan-European audiences and is home to Europe's largest privately owned broadcast media group, the RTL Group, which operates 46 TV stations and 29 radio stations in Europe; also home to Europe's largest satellite operator, Societe Europeenne des Satellites; domestically, the RTL Group operates TV and radio networks; other domestic private radio and TV operators and French and German stations available; satellite and cable TV services available (2008) |
| Internet country code: | .lu |
| Internet users: | total: 555,000 |
| Internet users: | percent of population: 97.3% (July 2015 est.) |
