| Communications | France |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 38.687 million (2017 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 58 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 69.017 million (2017 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 103 (2017 est.) |
| Telephone system: | general assessment: extensive cable and microwave radio relay; extensive use of fiber-optic cable; domestic satellite system; highly developed; 3rd largest in Europe; broadband subscriber rate remains strong at 4% (2017) |
| Telephone system: | domestic: 58 per 100 persons for fixed-line and 103 per 100 for mobile-cellular subscriptions (2017) |
| Telephone system: | international: country code - 33; numerous submarine cables provide links throughout Europe, Asia, Australia, the Middle East, and US; satellite earth stations - more than 3 (2 Intelsat (with total of 5 antennas - 2 for Indian Ocean and 3 for Atlantic Ocean), NA Eutelsat, 1 Inmarsat - Atlantic Ocean region); HF radiotelephone communications with more than 20 countries (2015) |
| Telephone system: | overseas departments: country codes: French Guiana - 594; Guadeloupe - 590; Martinique - 596; Mayotte - 262; Reunion - 262; ACE submarine cable connecting France with African markets extended (2015) |
| Broadcast media: | a mix of both publicly operated and privately owned TV stations; state-owned France television stations operate 4 networks, one of which is a network of regional stations, and has part-interest in several thematic cable/satellite channels and international channels; a large number of privately owned regional and local TV stations; multi-channel satellite and cable services provide a large number of channels; public broadcaster Radio France operates 7 national networks, a series of regional networks, and operates services for overseas territories and foreign audiences; Radio France Internationale, under the Ministry of Foreign Affairs, is a leading international broadcaster; a large number of commercial FM stations, with many of them consolidating into commercial networks (2008) |
| Internet country code: | metropolitan France - .fr; French Guiana - .gf; Guadeloupe - .gp; Martinique - .mq; Mayotte - .yt; Reunion - .re |
| Internet users: | total: 57,226,585 (July 2016 est.) |
| Internet users: | percent of population: 85.6% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 28.429 million (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 42 (2017 est.) |
