| Communications | LIBERIA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 9,000 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (July 2015 est.) |
| Telephones - mobile cellular: | total: 3.652 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 87 (July 2015 est.) |
| Telephone system: | general assessment: the limited services available are found almost exclusively in the capital, Monrovia; fixed-line service stagnant and extremely limited; telephone coverage extended to a number of other towns and rural areas by four mobile-cellular network operators |
| Telephone system: | domestic: mobile-cellular subscription base growing and teledensity reached 85 per 100 persons in 2015 |
| Telephone system: | international: country code - 231; satellite earth station - 1 Intelsat (Atlantic Ocean) (2015) |
| Broadcast media: | 3 private TV stations; satellite TV service available; 1 state-owned radio station; about 15 independent radio stations broadcasting in Monrovia, with another 25 local stations operating in other areas; transmissions of 2 international broadcasters are available (2007) |
| Internet country code: | .lr |
| Internet users: | total: 248,000 |
| Internet users: | percent of population: 5.9% (July 2015 est.) |
