| Communications | French Polynesia |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 63,769 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 21.78 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 305,233 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 104.25 (2019 est.) |
| Telecommunication systems: | general assessment: one of the most advanced telecom infrastructures for the Pacific islandÂ region; 85% mobile broadband coverage; 40% of its mobile connections using 3G and the rest using emerging 4G LTE technology; 100% mobile penetration;Â uses Uplink systems of the Galileo satellite network; and with the launch of theÂ Kacific-1 satellite in 2019,Â it will allow speedy access to the InternetÂ for Pacific islands (2020) |
| Telecommunication systems: | domestic: fixed-line subscriptions 22 per 100 persons and mobile-cellular density is roughly 104 per 100 persons (2019) |
| Telecommunication systems: | international: country code - 689; landing points for the NATITUA, Manatua, and Honotua submarine cables to other French Polynesian Islands, Cook Islands, Niue, Samoa and US; satellite earth station - 1 Intelsat (Pacific Ocean) (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | French public overseas broadcaster Reseau Outre-Mer provides 2 TV channels and 1 radio station; 1 government-owned TV station; a small number of privately owned radio stations (2019) |
| Internet country code: | .pf |
| Internet users: | total: 211,101 |
| Internet users: | percent of population: 72.7% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 59,790 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 21 (2018 est.) |
