| Communications | Nicaragua |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 375,856 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 6 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 8,179,876 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 136 (2017 est.) |
| Telephone system: | general assessment: system being upgraded by foreign investment; nearly all installed telecommunications capacity now uses digital technology, owing to investments since privatization of the formerly state-owned telecommunications company; lowest fixed-line teledensity and mobile penetration in Central America;Â a Russian state corporation is operating in the area; LTE service in 60 towns and cities (2018) |
| Telephone system: | domestic: since privatization, access to fixed-line and mobile-cellular services has improved; fixed-line teledensity roughly 6 per 100 persons; mobile-cellular telephone subscribership has increased to 136 per 100 persons (2018) |
| Telephone system: | international: country code - 505; landing point for the ARCOS fiber-optic submarine cable which provides connectivity to South and Central America, parts of the Caribbean, and the US; satellite earth stations - 1 Intersputnik (Atlantic Ocean region) and 1 Intelsat (Atlantic Ocean) (2019) |
| Broadcast media: | multiple terrestrial TV stations, supplemented by cable TV in most urban areas; nearly all are government-owned or affiliated; more than 300 radio stations, both government-affiliated and privately owned (2019) |
| Internet country code: | .ni |
| Internet users: | total: 1,466,152 |
| Internet users: | percent of population: 24.6% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 210,124 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 3 (2017 est.) |
