| Communications | ROMANIA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 4.27 million |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 20 (July 2015 est.) |
| Telephones - mobile cellular: | total: 23.12 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 107 (July 2015 est.) |
| Telephone system: | general assessment: the telecommunications sector is being expanded and modernized; domestic and international service improving rapidly, especially mobile-cellular services |
| Telephone system: | domestic: more than 90% of telephone network is automatic; fixed-line teledensity is about 20 telephones per 100 persons; mobile-cellular teledensity over 100 telephones per 100 persons |
| Telephone system: | international: country code - 40; the Black Sea Fiber-Optic Cable System provides connectivity to Bulgaria and Turkey; satellite earth stations - 10; digital, international, direct-dial exchanges operate in Bucharest (2014) |
| Broadcast media: | a mixture of public and private TV stations; there are 7 public TV stations (2 national, 5 regional) using terrestrial broadcasting and 187 private TV stations (out of which 171 offer local coverage) using terrestrial broadcasting, plus 11 public TV stations using satellite broadcasting and 86 private TV stations using satellite broadcasting; state-owned public radio broadcaster operates 4 national networks and regional and local stations, having in total 20 public radio stations by terrestrial broadcasting plus 4 public radio stations by satellite broadcasting; there are 502 operational private radio stations using terrestrial broadcasting and 26 private radio stations using satellite broadcasting (2014) |
| Internet country code: | .ro |
| Internet users: | total: 12.082 million |
| Internet users: | percent of population: 55.8% (July 2015 est.) |
