| Communications | ROMANIA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 4.6 million |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 21 (2014 est.) |
| Telephones - mobile cellular: | total: 22.9 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 105 (2014 est.) |
| Telephone system: | general assessment: the telecommunications sector is being expanded and modernized; domestic and international service improving rapidly, especially mobile-cellular services |
| Telephone system: | domestic: more than 90% of telephone network is automatic; fixed-line teledensity exceeds 20 telephones per 100 persons; mobile-cellular teledensity roughly 110 telephones per 100 persons |
| Telephone system: | international: country code - 40; the Black Sea Fiber Optic System provides connectivity to Bulgaria and Turkey; satellite earth stations - 10; digital, international, direct-dial exchanges operate in Bucharest (2011) |
| Broadcast media: | a mixture of public and private TV stations; the public broadcaster operates multiple stations; roughly 100 private national, regional, and local stations; more than 75% of households are connected to multi-channel cable or satellite TV systems that provide access to Romanian, European, and international stations; state-owned public radio broadcaster operates 4 national networks and regional and local stations; more than 100 private radio stations (2008) |
| Radio broadcast stations: | 698 (station frequency type NA) (2006) |
| Television broadcast stations: | 623 (plus 200 repeaters) (2006) |
| Internet country code: | .ro |
| Internet users: | total: 11.2 million |
| Internet users: | percent of population: 51.7% (2014 est.) |
