| Communications | Latvia |
| --- | --- |
| Telephones - main lines in use: | 644,000 (2008) |
| Telephones - mobile cellular: | 2.234 million (2008) |
| Telephone system: | general assessment: recent efforts focused on bringing competition to the telecommunications sector; the number of fixed lines is decreasing as wireless telephone service expands |
| Telephone system: | domestic: number of telecommunications operators has grown rapidly since the fixed-line market opened to competition in 2003; combined fixed-line and mobile-cellular subscribership exceeds 125 per 100 persons |
| Telephone system: | international: country code - 371; the Latvian network is now connected via fiber optic cable to Estonia, Finland, and Sweden (2008) |
| Radio broadcast stations: | AM 8, FM 62, shortwave 1 (2008) |
| Television broadcast stations: | 37 (plus 31 repeaters) (2008) |
| Internet country code: | .lv |
| Internet hosts: | 257,414 (2009) |
| Internet users: | 1.254 million (2008) |
