| Communications | Chad |
| --- | --- |
| Telephones - main lines in use: | 51,200 (2010) |
| Telephones - mobile cellular: | 2.614 million (2010) |
| Telephone system: | general assessment: inadequate system of radiotelephone communication stations with high costs and low telephone density |
| Telephone system: | domestic: fixed-line connections for only about 1 per 1000 persons coupled with mobile-cellular subscribership base of only about 25 per 100 persons |
| Telephone system: | international: country code - 235; satellite earth station - 1 Intelsat (Atlantic Ocean) (2009) |
| Broadcast media: | 1 state-owned TV broadcast station; state-owned radio network, Radiodiffusion Nationale Tchadienne (RNT), operates national and regional stations; about 10 private radio stations; some stations rebroadcast programs from international broadcasters (2007) |
| Internet country code: | .td |
| Internet hosts: | 5 (2010) |
| Internet users: | 168,100 (2009) |
