| Communications | Germany |
| --- | --- |
| Telephones - main lines in use: | 51.5 million (2008) |
| Telephones - mobile cellular: | 107.245 million (2008) |
| Telephone system: | general assessment: Germany has one of the world's most technologically advanced telecommunications systems; as a result of intensive capital expenditures since reunification, the formerly backward system of the eastern part of the country, dating back to World War II, has been modernized and integrated with that of the western part |
| Telephone system: | domestic: Germany is served by an extensive system of automatic telephone exchanges connected by modern networks of fiber-optic cable, coaxial cable, microwave radio relay, and a domestic satellite system; cellular telephone service is widely available, expanding rapidly, and includes roaming service to many foreign countries |
| Telephone system: | international: country code - 49; Germany's international service is excellent worldwide, consisting of extensive land and undersea cable facilities as well as earth stations in the Inmarsat, Intelsat, Eutelsat, and Intersputnik satellite systems (2001) |
| Radio broadcast stations: | AM 51, FM 787, shortwave 4 (1998) |
| Television broadcast stations: | 373 (plus 8,042 repeaters) (1995) |
| Internet country code: | .de |
| Internet hosts: | 23.796 million (2009) |
| Internet users: | 61.973 million (2008) |
