| Communications | Puerto Rico |
| --- | --- |
| Telephones - main lines in use: | 826,100 (2011) |
| Telephones - mobile cellular: | 3.108 million (2011) |
| Telephone system: | general assessment: modern system integrated with that of the US by high-capacity submarine cable and Intelsat with high-speed data capability |
| Telephone system: | domestic: digital telephone system; mobile-cellular services |
| Telephone system: | international: country code - 1-787, 939; submarine cables provide connectivity to the US, Caribbean, Central and South America; satellite earth station - 1 Intelsat |
| Broadcast media: | more than 30 TV stations operating; cable TV subscription services are available; roughly 125 radio stations (2007) |
| Internet country code: | .pr |
| Internet hosts: | 469 (2012) |
| Internet users: | 1 million (2009) |
