| Communications | Belarus |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 4,513,255 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 47.49 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 11,682,764 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 122.93 (2019 est.) |
| Telecommunication systems: | general assessment: govt. and telecom regulator have plans to develop the telecom sectorÂ for the migrationÂ to 5G; Chinese company Huawei have started 5G trials to deliver data at 2Gb/s; fiber network reaches two million establishments;Â 10,000km of fiber cabling laid; August 2018 almost two million GPONÂ connections (Gigabit Passive Optical Network, point-to-multi point access mechanism);Â Belarus launched its first telecoms satellite in 2016; LTE use reaches 75% of mobile subscribers (2020) |
| Telecommunication systems: | domestic: fixed-line teledensity is improving although rural areas continue to be underserved, 48 per 100 fixed-line; mobile-cellular teledensity now approaches 123 telephones per 100 persons (2019) |
| Telecommunication systems: | international: country code - 375; Belarus is landlocked and therefore a member of the Trans-European Line (TEL), Trans-Asia-Europe (TAE) fiber-optic line, and has access to the Trans-Siberia Line (TSL); 3 fiber-optic segments provide connectivity to Latvia, Poland, Russia, and Ukraine; worldwide service is available to Belarus through this infrastructure; additional analog lines to Russia; Intelsat, Eutelsat, and Intersputnik earth stations; almost 31,000 base stations in service in 2019 (2020) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | 7 state-controlled national TV channels; Polish and Russian TV broadcasts are available in some areas; state-run Belarusian Radio operates 5 national networks and an external service; Russian and Polish radio broadcasts are available (2019) |
| Internet country code: | .by |
| Internet users: | total: 7,539,145 |
| Internet users: | percent of population: 79.13% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 3,201,519 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 34 (2018 est.) |
