| Communications | British Virgin Islands |
| --- | --- |
| Telephones - main lines in use: | 20,100 (2010) |
| Telephones - mobile cellular: | 24,500 (2010) |
| Telephone system: | general assessment: good overall telephone service |
| Telephone system: | domestic: fixed line connections exceed 80 per 100 persons and mobile cellular subscribership is roughly 100 per 100 persons |
| Telephone system: | international: country code - 1-284; connected via submarine cable to Bermuda; the East Caribbean Fiber System (ECFS) submarine cable provides connectivity to 13 other islands in the eastern Caribbean (2010) |
| Broadcast media: | 1 private TV station; multi-channel TV is available from cable and satellite subscription services; about a half dozen private radio stations operating (2007) |
| Internet country code: | .vg |
| Internet hosts: | 497 (2010) |
| Internet users: | 4,000 (2002) |
