| Communications | Luxembourg |
| --- | --- |
| Telephones - main lines in use: | 273,600 (2009) |
| Telephones - mobile cellular: | 719,000 (2009) |
| Telephone system: | general assessment: highly developed, completely automated and efficient system, mainly buried cables |
| Telephone system: | domestic: fixed line teledensity over 50 per 100 persons; nationwide mobile-cellular telephone system with market for mobile-cellular phones virtually saturated |
| Telephone system: | international: country code - 352 (2008) |
| Broadcast media: | Luxembourg has a long tradition of operating radio and TV services to pan-European audiences and is home to Europe's largest privately-owned broadcast media group, the RTL group, which operates 45 television stations and 31 radio stations in Europe; also home to Europe's largest satellite operator, Societe Europeenne des Satellites (SES); domestically, the RTL group operates TV and radio networks; other domestic private radio and TV operators and French and German stations are available; satellite and cable TV services are accessible (2008) |
| Internet country code: | .lu |
| Internet hosts: | 244,225 (2010) |
| Internet users: | 424,500 (2009) |
