| Communications | NEW CALEDONIA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 92,000 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 34 (July 2016 est.) |
| Telephones - mobile cellular: | total: 246,000 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 91 (July 2016 est.) |
| Telephone system: | general assessment: a submarine cable network connection between New Caledonia and Australia, completed in 2007, increased network capacity and improved high-speed connectivity and access to international networks |
| Telephone system: | domestic: combined fixed-line and mobile-cellular telephone subscribership exceeds 120 per 100 persons |
| Telephone system: | international: country code - 687; satellite earth station - 1 Intelsat (Pacific Ocean) (2015) |
| Broadcast media: | the publicly owned French Overseas Network (RFO), which operates in France's overseas departments and territories, broadcasts over the RFO Nouvelle Caledonie TV and radio stations; a small number of privately owned radio stations also broadcast (2008) |
| Internet country code: | .nc |
| Internet users: | total: 201,000 |
| Internet users: | percent of population: 74% (July 2016 est.) |
