| Communications | Christmas Island |
| --- | --- |
| Telephones - main lines in use: | NA |
| Telephone system: | general assessment: service provided by the Australian network |
| Telephone system: | domestic: GSM mobile-cellular telephone service replaced older analog system in February 2005 |
| Telephone system: | international: country code - 61-8; satellite earth station - 1 (Intelsat provides telephone and telex service) (2005) |
| Broadcast media: | 1 community radio station; broadcasts of several Australian radio and television stations are received via satellite (2009) |
| Internet country code: | .cx |
| Internet hosts: | 2,542 (2010) |
| Internet users: | 464 (2001) |
