| Communications | Togo |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 36,111 (2017 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 6,219,981 (2017 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 78 (2017 est.) |
| Telephone system: | general assessment: fair system based on a network of microwave radio relay routes supplemented by open-wire lines and a mobile-cellular system (2016) |
| Telephone system: | domestic: microwave radio relay and open-wire lines for conventional system; combined fixed-line and mobile-cellular teledensity roughly 70 telephones per 100 persons with mobile-cellular use predominating (2016) |
| Telephone system: | international: country code - 228; satellite earth stations - 1 Intelsat (Atlantic Ocean), 1 Symphonie (2016) |
| Broadcast media: | 1 state-owned TV station with multiple transmission sites; 5 private TV stations broadcast locally; cable TV service is available; state-owned radio network with 2 stations (in Lome and Kara); several dozen private radio stations and a few community radio stations; transmissions of multiple international broadcasters available (2018) |
| Internet country code: | .tg |
| Internet users: | total: 877,310 (July 2016 est.) |
| Internet users: | percent of population: 11.3% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 45,756 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 1 (2017 est.) |
