| Communications | Namibia |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 144,575 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 5.6 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 2,921,697 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 113.17 (2019 est.) |
| Telecommunication systems: | general assessment: fixed-line still a govt. monopoly;Â penetration rates rise above regional average with the rise of competition in the mobile market; 3G and LTE-A services; Internet and broadband sector fairly competitive; infrastructure investment through 2021; working on implementing 5G (2020) |
| Telecommunication systems: | domestic: fixed-line subscribership is 6 per 100 and mobile-cellular 113 per 100 persons (2019) |
| Telecommunication systems: | international: country code - 264;Â landing points for the ACE and WACSÂ fiber-optic submarine cable linking southern and western African countries to Europe; satellite earth stations - 4 Intelsat (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | 1 private and 1 state-run TV station; satellite and cable TV service available; state-run radio service broadcasts in multiple languages; about a dozen private radio stations; transmissions of multiple international broadcasters available |
| Internet country code: | .na |
| Internet users: | total: 1,291,944 |
| Internet users: | percent of population: 51% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 61,968 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 2 (2018 est.) |
