| Communications | Namibia |
| --- | --- |
| Telephones - main lines in use: | 171,000 (2012) |
| Telephones - mobile cellular: | 2.435 million (2012) |
| Telephone system: | general assessment: good system; core fiber-optic network links most centers and connections are now digital |
| Telephone system: | domestic: multiple mobile-cellular providers with a combined subscribership of more than 100 telephones per 100 persons |
| Telephone system: | international: country code - 264; fiber-optic cable to South Africa, microwave radio relay link to Botswana, direct links to other neighboring countries; connected to the South African Far East (SAFE) submarine cable through South Africa; satellite earth stations - 4 Intelsat (2010) |
| Broadcast media: | 1 private and 1 state-run TV station; satellite and cable TV service is available; state-run radio service broadcasts in multiple languages; about a dozen private radio stations; transmissions of multiple international broadcasters are available (2007) |
| Internet country code: | .na |
| Internet hosts: | 78,280 (2012) |
| Internet users: | 127,500 (2009) |
