| Communications | BAHAMAS, THE |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 120,925 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 37 (July 2015 est.) |
| Telephones - mobile cellular: | total: 311,000 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 96 (July 2015 est.) |
| Telephone system: | general assessment: modern facilities |
| Telephone system: | domestic: totally automatic system; highly developed; the Bahamas Domestic Submarine Network links all of the major islands; Bahamas Telecommunications Company (BTC) privatized in 2011, but the government reacquired 51% share in 2014 |
| Telephone system: | international: country code - 1-242; landing point for the Americas Region Caribbean Ring System (ARCOS-1) fiber-optic submarine cable that provides links to South and Central America, parts of the Caribbean, and the US; satellite earth stations - 2 (2015) |
| Broadcast media: | 2 TV stations operated by government-owned, commercially run Broadcasting Corporation of the Bahamas (BCB); multi-channel cable TV subscription service is available; about 15 radio stations operating with BCB operating a multi-channel radio broadcasting network alongside privately owned radio stations (2007) |
| Internet country code: | .bs |
| Internet users: | total: 253,000 |
| Internet users: | percent of population: 78% (July 2015 est.) |
