| Communications | CAMBODIA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 256,387 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 2 (July 2015 est.) |
| Telephones - mobile cellular: | total: 20.851 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 133 (July 2015 est.) |
| Telephone system: | general assessment: adequate fixed-line and/or cellular service in Phnom Penh and other provincial cities; mobile-cellular phone systems are widely used in urban areas to bypass deficiencies in the fixed-line network; mobile-phone coverage is rapidly expanding in rural areas |
| Telephone system: | domestic: fixed-line connections stand at about 2 per 100 persons; mobile-cellular usage, aided by competition among service providers, has increased to over 130 per 100 persons |
| Telephone system: | international: country code - 855; adequate but expensive landline and cellular service available to all countries from Phnom Penh and major provincial cities; satellite earth station - 1 Intersputnik (Indian Ocean region) (2015) |
| Broadcast media: | mixture of state-owned, joint public-private, and privately owned broadcast media; 9 TV broadcast stations with most operating on multiple channels, including 1 state-operated station broadcasting from multiple locations, 6 stations either jointly operated or privately owned with some broadcasting from several locations, and 2 TV relay stations - one relaying a French TV station and the other relaying a Vietnamese TV station; multi-channel cable and satellite systems are available; roughly 50 radio broadcast stations - 1 state-owned broadcaster with multiple stations and a large mixture of public and private broadcasters; several international broadcasters are available (2009) |
| Internet country code: | .kh |
| Internet users: | total: 2.985 million |
| Internet users: | percent of population: 19% (July 2015 est.) |
