| Communications | Cambodia |
| --- | --- |
| Telephones - main lines in use: | 37,500 (2007) |
| Telephones - mobile cellular: | 2.583 million (2007) |
| Telephone system: | general assessment: mobile-phone systems are widely used in urban areas to bypass deficiencies in the fixed-line network; fixed-line connections stand at well less than 1 per 100 persons; mobile-cellular usage, aided by increasing competition among service providers, is increasing and stands at nearly 20 per 100 persons |
| Telephone system: | domestic: adequate landline and/or cellular service in Phnom Penh and other provincial cities; mobile-phone coverage is rapidly expanding in rural areas |
| Telephone system: | international: country code - 855; adequate but expensive landline and cellular service available to all countries from Phnom Penh and major provincial cities; satellite earth station - 1 Intersputnik (Indian Ocean region) (2007) |
| Radio broadcast stations: | AM 2, FM 17, shortwave NA (2003) |
| Radios: | 1.34 million (1997) |
| Television broadcast stations: | 9 (including 2 TV relay stations with French and Vietnamese broadcasts); excludes 18 regional relay stations (2006) |
| Televisions: | 94,000 (1997) |
| Internet country code: | .kh |
| Internet hosts: | 1,230 (2008) |
| Internet Service Providers (ISPs): | 2 (2000) |
| Internet users: | 70,000 (2007) |
