| Communications | Iran |
| --- | --- |
| Telephones - main lines in use: | 24.8 million (2008) |
| Telephones - mobile cellular: | 43 million (2008) |
| Telephone system: | general assessment: currently being modernized and expanded with the goal of not only improving the efficiency and increasing the volume of the urban service but also bringing telephone service to several thousand villages, not presently connected |
| Telephone system: | domestic: the addition of new fiber cables and modern switching and exchange systems installed by Iran's state-owned telecom company have improved and expanded the main line network greatly; main line availability has more than doubled to nearly 25 million lines since 2000; additionally, mobile service has increased dramatically serving 43 million subscribers in 2008; combined fixed and mobile-cellular subscribership now exceeds 100 per 100 persons |
| Telephone system: | international: country code - 98; submarine fiber-optic cable to UAE with access to Fiber-Optic Link Around the Globe (FLAG); Trans-Asia-Europe (TAE) fiber-optic line runs from Azerbaijan through the northern portion of Iran to Turkmenistan with expansion to Georgia and Azerbaijan; HF radio and microwave radio relay to Turkey, Azerbaijan, Pakistan, Afghanistan, Turkmenistan, Syria, Kuwait, Tajikistan, and Uzbekistan; satellite earth stations - 13 (9 Intelsat and 4 Inmarsat) (2007) |
| Radio broadcast stations: | AM 72, FM 6, shortwave 5 (1998) |
| Television broadcast stations: | 29 (plus 450 repeaters) (1997) |
| Internet country code: | .ir |
| Internet hosts: | 45,678 (2009) |
| Internet users: | 23 million (2008) |
