| Communications | Singapore |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 1,983,100 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 34 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 8,462,800 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 144 (2017 est.) |
| Telephone system: | general assessment: excellent service; world leader in telecommunications and perhaps the first 'Smart Nation' where a sensor network is implemented; saturated mobile audience; roll out of 4G and 5G networks to ensure faster speeds; wireless and fiber broadband growing segments of telecommunications (2018) |
| Telephone system: | domestic: excellent domestic facilities; fixed-lineÂ 34.9 per 100 and mobile-cellular 149.6 per 100 teledensity; multiple providers of high-speed Internet connectivity (2018) |
| Telephone system: | international: country code - 65; landing points for INDIGO-West, SeaMeWe -3,-4,-5, SIGMAR, SJC, i2icn,Â PGASCOM, BSCS,Â IGG,Â B3JS, SAEx2, APCN-2, APG, ASC, SEAX-1, ASE, EAC-C2C, Matrix Cable System and SJC2 submarine cables providing links throughout Asia, Southeast Asia, Africa, Australia, the Middle East, and Europe; satellite earth stations - 3, Bukit Timah, Seletar, and Sentosa; supplemented by VSAT coverage (2019 ) |
| Broadcast media: | state controls broadcast media;Â 6 domestic TV stations operated by MediaCorp which is wholly owned by a state investment company; broadcasts from Malaysian and Indonesian stations available; satellite dishes banned; multi-channel cable TV services available; a total of 19 domestic radio stations broadcasting, with MediaCorp operating 11, Singapore Press Holdings, also government-linked, another 5,Â 2 controlled by the Singapore Armed Forces Reservists Association and one owned by BBC Radio; Malaysian and Indonesian radio stations are available as is BBC; a number of Internet service radio stations are also available (2019) |
| Internet country code: | .sg |
| Internet users: | total: 4,683,200 |
| Internet users: | percent of population: 81% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 1,470,400 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 25 (2017 est.) |
