| Communications | Uruguay |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 1,137,193 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 33.66 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 4,664,993 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 138.08 (2019 est.) |
| Telecommunication systems: | general assessment: fully digitalized; one of the highest broadband penetrations in Latin America; high fixed-line and mobile penetrations as well;Â FttP coverage by 2022; nationwide 3G coverage and LTE networks; limited 5G commercial reach; strong focus on fiber infrastructure with 70% residential fixed-broadband connections and all business connections (2020) |
| Telecommunication systems: | domestic: most modern facilities concentrated in Montevideo; nationwide microwave radio relay network; overall fixed-line 34 per 100 and mobile-cellular teledensity 138 per 100 persons (2019) |
| Telecommunication systems: | international: country code - 598; landing points for the Unisor, Tannat, and BicentenarioÂ submarine cable system providing direct connectivity to Brazil and Argentina; Bicentenario 2012 and TannatÂ 2017 cables helped end-users with Internet bandwidth; satellite earth stations - 2 Intelsat (Atlantic Ocean) (2020) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | mixture of privately owned and state-run broadcast media; more than 100 commercial radio stations and about 20 TV channels; cable TV is available; many community radio and TV stations; adopted the hybrid Japanese/Brazilian HDTV standard (ISDB-T) in December 2010 (2019) |
| Internet country code: | .uy |
| Internet users: | total: 2,300,557 |
| Internet users: | percent of population: 68.28% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 977,390 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 29 (2018 est.) |
