| Communications | Uruguay |
| --- | --- |
| Telephones - main lines in use: | 1.01 million (2012) |
| Telephones - mobile cellular: | 5 million (2012) |
| Telephone system: | general assessment: fully digitalized |
| Telephone system: | domestic: most modern facilities concentrated in Montevideo; nationwide microwave radio relay network; overall fixed-line and mobile-cellular teledensity has reached 170 telephones per 100 persons |
| Telephone system: | international: country code - 598; the UNISOR submarine cable system provides direct connectivity to Brazil and Argentina; satellite earth stations - 2 Intelsat (Atlantic Ocean) (2011) |
| Broadcast media: | mixture of privately owned and state-run broadcast media; more than 100 commercial radio stations and about 20 TV channels; cable TV is available; many community radio and TV stations; adopted the hybrid Japanese/Brazilian HDTV standard (ISDB-T) in December 2010 (2010) |
| Internet country code: | .uy |
| Internet hosts: | 1.036 million (2012) |
| Internet users: | 1.405 million (2009) |
