| Communications | SENEGAL |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 310,000 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 2 (2014 est.) |
| Telephones - mobile cellular: | total: 14.4 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 105 (2014 est.) |
| Telephone system: | general assessment: good system with microwave radio relay, coaxial cable and fiber-optic cable in trunk system |
| Telephone system: | domestic: above-average urban system with a fiber-optic network; nearly two-thirds of all fixed-line connections are in Dakar where a call-center industry is emerging; expansion of fixed-line services in rural areas needed; mobile-cellular service is expanding rapidly |
| Telephone system: | international: country code - 221; the SAT-3/WASC fiber-optic cable provides connectivity to Europe and Asia while Atlantis-2 provides connectivity to South America; satellite earth station - 1 Intelsat (Atlantic Ocean) (2010) |
| Broadcast media: | state-run Radiodiffusion Television Senegalaise (RTS) operates 2 TV stations; a few private TV subscription channels rebroadcast foreign channels without providing any local news or programs; RTS operates a national radio network and a number of regional FM stations; many community and private-broadcast radio stations are available; transmissions of at least 2 international broadcasters are accessible on FM in Dakar (2007) |
| Radio broadcast stations: | AM 8, FM 20, shortwave 1 (2001) |
| Television broadcast stations: | 7 (2008) |
| Internet country code: | .sn |
| Internet users: | total: 3 million |
| Internet users: | percent of population: 22.0% (2014 est.) |
