| Communications | Monaco |
| --- | --- |
| Telephones - main lines in use: | 44,500 (2012) |
| Telephones - mobile cellular: | 33,200 (2012) |
| Telephone system: | general assessment: modern automatic telephone system; the country's sole fixed line operator offers a full range of services to residential and business customers |
| Telephone system: | domestic: combined fixed-line and mobile-cellular teledensity exceeds 200 per 100 persons |
| Telephone system: | international: country code - 377; no satellite earth stations; connected by cable into the French communications system (2011) |
| Broadcast media: | TV Monte-Carlo (TMC) operates a TV network; cable TV available; Radio Monte-Carlo has extensive radio networks in France and Italy with French-language broadcasts to France beginning in the 1960s and Italian-language broadcasts to Italy beginning in the 1970s; other radio stations include Riviera Radio and Radio Monaco (2012) |
| Internet country code: | .mc |
| Internet hosts: | 26,009 (2012) |
| Internet users: | 23,000 (2009) |
