| Communications | Monaco |
| --- | --- |
| Telephones - main lines in use: | 44,500 (2011) |
| Telephones - mobile cellular: | 31,800 (2011) |
| Telephone system: | general assessment: modern automatic telephone system; the country's sole fixed line operator offers a full range of services to residential and business customers |
| Telephone system: | domestic: combined fixed-line and mobile-cellular teledensity exceeds 200 per 100 persons |
| Telephone system: | international: country code - 377; no satellite earth stations; connected by cable into the French communications system |
| Broadcast media: | TV Monte-Carlo (TMC) operates a TV network; Radio Monte-Carlo has both an Italian-language and a French-language network; there are a few private radio stations (2008) |
| Internet country code: | .mc |
| Internet hosts: | 26,009 (2012) |
| Internet users: | 23,000 (2009) |
