| Communications | Bahamas, The |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 113,852 (2017 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 35 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 353,540 (2017 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 107 (2017 est.) |
| Telephone system: | general assessment: modern facilities; Â the telecom sector provides a relatively high contribution to overall GDP; activation ofÂ Mobile Number Portability (MNP) in April 2017, allowing mobile subscribers to port their numbers betweenÂ competing MNO (mobile network operators) (2017) |
| Telephone system: | domestic: totally automatic system; highly developed; operators focus investment on mobile networks; 35 per 100 fixed-line, 107 per 100 mobile-cellular (2017) |
| Telephone system: | international: country code - 1-242; landing point for the Americas Region Caribbean Ring System (ARCOS-1) and two additional fiber-optic submarine cables that provide links to South and Central America, parts of the Caribbean, and the US; satellite earth stations - 2; the Bahamas Domestic Submarine Network links all of the major islands; (2017) |
| Broadcast media: | The Bahamas has 4 major TV providers that provide service to all major islands in the archipelago; 1 TV station is operated by government-owned, commercially run Broadcasting Corporation of the Bahamas (BCB) and competes freely with 3 privately owned TV stations; multi-channel cable TV subscription service is widely available; there are 31 licensed broadcast (radio) service providers, 28 are privately owned FM radio stations operating on New Providence, Grand Bahama Island, Abaco Island, and on smaller islands in the country; the BCB operates a multi-channel radio broadcasting network that has national coverage; the sector is regulated by the Utilities Regulation and Competition Authority (2017) |
| Internet country code: | .bs |
| Internet users: | total: 261,853 (July 2016 est.) |
| Internet users: | percent of population: 80% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 86,868 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 26 (2017 est.) |
