| Communications | Iran |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 31,182,812 (2017 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 38 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 87,106,508 (2017 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 106 (2017 est.) |
| Telephone system: | general assessment: opportunities for telecoms growth, but the disadvantage of lack of significant investment which may change with sanctions being lifted; one of the largest populations in the Middle East with a huge demand for services; mobile penetration is high with over 125% accessing 2G & 3G; 4G LTE becoming available; Iranian-net, is currently expanding a fiber network to have 8 million customers by 2020 (2017) |
| Telephone system: | domestic: 38 per 100 for fixed-line and 106 per 100 for mobile-cellular subscriptions; heavy investment by Iran's state-owned telecom company has greatly improved and expanded both the fixed-line and mobile cellular networks; a huge percentage of the cell phones in the market have been smuggled into the country (2017) |
| Telephone system: | international: country code - 98; submarine fiber-optic cable to UAE with access to Fiber-Optic Link Around the Globe (FLAG); Trans-Asia-Europe (TAE) fiber-optic line runs from Azerbaijan through the northern portion of Iran to Turkmenistan with expansion to Georgia and Azerbaijan; HF radio and microwave radio relay to Turkey, Azerbaijan, Pakistan, Afghanistan, Turkmenistan, Syria, Kuwait, Tajikistan, and Uzbekistan; satellite earth stations - 13 (9 Intelsat and 4 Inmarsat) (2015) |
| Broadcast media: | state-run broadcast media with no private, independent broadcasters; Islamic Republic of Iran Broadcasting (IRIB), the state-run TV broadcaster, operates 19 nationwide channels including a news channel, about 34 provincial channels, and several international channels; about 20 foreign Persian-language TV stations broadcasting on satellite TV are capable of being seen in Iran; satellite dishes are illegal and, while their use is subjectively tolerated, authorities confiscate satellite dishes from time to time; IRIB operates 16 nationwide radio networks, a number of provincial stations, and an external service; most major international broadcasters transmit to Iran (2018) |
| Internet country code: | .ir |
| Internet users: | total: 36.07 million (July 2016 est.) |
| Internet users: | percent of population: 44.1% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 10,057,769 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 12 (2017 est.) |
