| Communications | Norway |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 571,958 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 10.55 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 5,810,113 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 107.17 (2019 est.) |
| Telecommunication systems: | general assessment: one of the most advanced telecommunications networks in Europe;Â high mobile and broadband penetration rates and highly developed digital media sector; forward leaning in LTE-A developments; migrate all DSL subscribers to fiber by 2023; looking to close 2G and 3G networks byÂ 2025;Â regulator competes 700 MHz auction and assigns spectrum for 5G, partners with Chinese company Huawei (2020) |
| Telecommunication systems: | domestic: Norway has a domestic satellite system; the prevalence of rural areas encourages the wide use of mobile-cellular systems; fixed-line 11 per 100 and mobile-cellular 107 per 100 (2019) |
| Telecommunication systems: | international: country code - 47;Â landing points for theÂ Svalbard Undersea Cable System, Polar Circle Cable, Bodo-Rost Cable, NOR5KE Viking, Celtic Norse, Tempnet Offshore FOC Network, England Cable, Denmark-Norwary6, Havfrue/AEC-2, Skagerrak 4, and the Skagenfiber West & EastÂ submarine cables providing links to other Nordic countries, Europe and the US; satellite earth stations - Eutelsat,Â Intelsat (Atlantic Ocean), and 1 Inmarsat (Atlantic and Indian Ocean regions); note - Norway shares the Inmarsat earth station with the other Nordic countries (Denmark, Finland, Iceland, and Sweden) (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | state-owned public radio-TV broadcaster operates 3 nationwide TV stations, 3 nationwide radio stations, and 16 regional radio stations; roughly a dozen privately owned TV stations broadcast nationally and roughly another 25 local TV stations broadcasting; nearly 75% of households have access to multi-channel cable or satellite TV; 2 privately owned radio stations broadcast nationwide and another 240 stations operate locally; Norway is the first country in the world to phase out FM radio in favor of Digital Audio Broadcasting (DAB), a process scheduled for completion in late 2017 (2019) |
| Internet country code: | .no |
| Internet users: | total: 5,183,627 |
| Internet users: | percent of population: 96.49% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 2,206,519 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 41 (2018 est.) |
