| Communications | Kuwait |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 368,305 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 12.46 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 5,147,990 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 174.16 (2019 est.) |
| Telecommunication systems: | general assessment: the quality of service is excellent; new telephone exchanges provide a large capacity for new subscribers; trunk traffic is carried by microwave radio relay, coaxial cable, and open-wire and fiber-optic cable; a 4G LTE mobile-cellular telephone system operates throughout Kuwait; Internet access is available via 4G LTE connections for fixed and mobile users; high ownership of smart phone in Kuwait; one of the highest mobile penetration rates in the world; exploring 5G opportunities; improvements to fiber-broadband underway (2020) |
| Telecommunication systems: | domestic: fixed-line subscriptions are 12 per 100 and mobile-cellular stands at 174 per 100 subscriptions (2019) |
| Telecommunication systems: | international: country code - 965; landing points for the FOG, GBICS, MENA, Kuwait-Iran, and FALCON submarine cablesÂ linking Africa, the Middle East, and Asia; microwave radio relay to Saudi Arabia; satellite earth stations - 6 (3 Intelsat - 1 Atlantic Ocean and 2 Indian Ocean, 1 Inmarsat - Atlantic Ocean, and 2 Arabsat) (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | state-owned TV broadcaster operates 4 networks and a satellite channel; several private TV broadcasters have emerged; satellite TV availableÂ and pan-Arab TV stations are especially popular; state-owned Radio Kuwait broadcasts on a number of channels in Arabic and English; first private radio station emerged in 2005; transmissions of at least 2 international radio broadcasters are available (2019) |
| Internet country code: | .kw |
| Internet users: | total: 2,904,801 |
| Internet users: | percent of population: 99.6% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 103,821 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 4 (2018 est.) |
