| Communications | Armenia |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 462,725 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 15.27 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 3,707,557 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 122.35 (2019 est.) |
| Telecommunication systems: | general assessment: telecommunications investments have made major inroads in modernizing and upgrading the outdated telecommunications network inherited from the Soviet era; now 100% privately owned and undergoing continued modernization and expansion; strong growth in mobile broadband sector and mobile services dominate over fixed-line;Â rollout of 4G networks and falling prices due to growing competition (2020) |
| Telecommunication systems: | domestic: 15 per 100 fixed-line, 122 per 100 mobile-cellular; reliable fixed-line and mobile-cellular services are available across Yerevan and in major cities and towns; mobile-cellular coverage available in most rural areas (2019) |
| Telecommunication systems: | international: country code - 374; Yerevan is connected to theÂ Caucasus Cable SystemÂ fiber-optic cable through Georgia and Iran to Europe; additional international service is available by microwave radio relay and landline connections to the other countries of the Commonwealth of Independent States, through the Moscow international switch, and by satellite to the rest of the world; satellite earth stations - 3 (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | Armeniaâ€™s government-run Public Television network operates alongside 100 privately owned TV stations that provide local to near nationwide coverage; three Russian TV companies are broadcast in Armenia under interstate agreements; subscription cable TV services are available in most regions; several major international broadcasters are available, including CNN; Armenian TV completed conversion from analog to digital broadcasting in late 2016; Public Radio of Armenia is a national, state-run broadcast network that operates alongside 18 privately owned radio stations |
| Broadcast media: | (2019) |
| Internet country code: | .am |
| Internet users: | total: 1,966,942 |
| Internet users: | percent of population: 64.74% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 347,448 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 11 (2018 est.) |
