| Communications | MOZAMBIQUE |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 89,292 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (July 2015 est.) |
| Telephones - mobile cellular: | total: 20.135 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 80 (July 2015 est.) |
| Telephone system: | general assessment: a fair telecommunications system that is shackled with a heavy state presence, lack of competition, and high operating costs and charges |
| Telephone system: | domestic: extremely low fixed-line teledensity contrasts with rapid growth in the mobile-cellular network; mobile-cellular coverage now includes all the main cities and key roads; mobile-cellular teledensity now about 80 per 100 persons |
| Telephone system: | international: country code - 258; landing point for the EASSy and SEACOM fiber-optic submarine cable systems; satellite earth stations - 5 Intelsat (2 Atlantic Ocean and 3 Indian Ocean) (2015) |
| Broadcast media: | 1 state-run TV station supplemented by private TV station; Portuguese state TV's African service, RTP Africa, and Brazilian-owned TV Miramar are available; state-run radio provides nearly 100% territorial coverage and broadcasts in multiple languages; a number of privately owned and community-operated stations; transmissions of multiple international broadcasters are available (2007) |
| Internet country code: | .mz |
| Internet users: | total: 2.277 million |
| Internet users: | percent of population: 9% (July 2015 est.) |
