| Communications | Switzerland |
| --- | --- |
| Telephones - main lines in use: | 4.382 million (2012) |
| Telephones - mobile cellular: | 10.46 million (2012) |
| Telephone system: | general assessment: highly developed telecommunications infrastructure with excellent domestic and international services |
| Telephone system: | domestic: ranked among leading countries for fixed-line teledensity and infrastructure; mobile-cellular subscribership roughly 125 per 100 persons; extensive cable and microwave radio relay networks |
| Telephone system: | international: country code - 41; satellite earth stations - 2 Intelsat (Atlantic Ocean and Indian Ocean) (2011) |
| Broadcast media: | the publicly owned radio and TV broadcaster, Swiss Broadcasting Corporation (SRG/SSR), operates 7 national TV networks, 3 broadcasting in German, 2 in Italian, and 2 in French; private commercial TV stations broadcast regionally and locally; TV broadcasts from stations in Germany, Italy, and France are widely available via multi-channel cable and satellite TV services; SRG/SSR operates 18 radio stations that, along with private broadcasters, provide national to local coverage (2009) |
| Internet country code: | .ch |
| Internet hosts: | 5.301 million (2012) |
| Internet users: | 6.152 million (2009) |
