| Communications | Vietnam |
| --- | --- |
| Telephones - main lines in use: | 29.591 million (2008) |
| Telephones - mobile cellular: | 70 million (2008) |
| Telephone system: | general assessment: Vietnam is putting considerable effort into modernization and expansion of its telecommunication system |
| Telephone system: | domestic: all provincial exchanges are digitalized and connected to Hanoi, Da Nang, and Ho Chi Minh City by fiber-optic cable or microwave radio relay networks; main lines have been substantially increased, and the use of mobile telephones is growing rapidly |
| Telephone system: | international: country code - 84; a landing point for the SEA-ME-WE-3, the C2C, and Thailand-Vietnam-Hong Kong submarine cable systems; the Asia-America Gateway submarine cable system, scheduled for completion by the end of 2008, will provide new access links to Asia and the US; satellite earth stations - 2 Intersputnik (Indian Ocean region) |
| Radio broadcast stations: | AM 65, FM 7, shortwave 29 (1999) |
| Television broadcast stations: | 67 (includes 61 relay, provincial, and city TV stations) (2006) |
| Internet country code: | .vn |
| Internet hosts: | 170,689 (2009) |
| Internet users: | 20.834 million (2008) |
