| Communications | TAJIKISTAN |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 440,000 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 5 (2014 est.) |
| Telephones - mobile cellular: | total: 8 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 99 (2014 est.) |
| Telephone system: | general assessment: foreign investment in the telephone system has resulted in major improvements; conversion of the existing fixed network from analogue to digital was completed in 2012 |
| Telephone system: | domestic: fixed line availability has not changed significantly since 1998, while mobile cellular subscribership, aided by competition among multiple operators, has expanded rapidly; coverage now extends to all major cities and towns |
| Telephone system: | international: country code - 992; linked by cable and microwave radio relay to other CIS republics and by leased connections to the Moscow international gateway switch; Dushanbe linked by Intelsat to international gateway switch in Ankara (Turkey); satellite earth stations - 3 (2 Intelsat and 1 Orbita) (2011) |
| Broadcast media: | state-run TV broadcaster transmits nationally on 4 stations and regionally on 4 stations; 11 independent TV stations broadcast locally and regionally; some households are able to receive Russian and other foreign stations via cable and satellite; state-run radio broadcaster operates Radio Tajikistan, Voice of Dushanbe, and several regional stations; a small number of independent radio stations (2010) |
| Radio broadcast stations: | 16 (number of licensed stations with only about 10 broadcasting) (2009) |
| Television broadcast stations: | 24 (number of licensed stations with only about 15 active) (2009) |
| Internet country code: | .tj |
| Internet users: | total: 1.3 million |
| Internet users: | percent of population: 16.1% (2014 est.) |
