| Communications | Tajikistan |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 471,090 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 5.39 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 9,747,803 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 111.53 (2019 est.) |
| Telecommunication systems: | general assessment: foreign investment in the telephone system has resulted in major improvements;Â an increase in mobile broadband penetration, but still in the early stages and remains low compared to those in the region; the country has endeavored to launch 4G/LTE services with mixed results; 7 major citiesÂ have 4G coverage;Â 5 major operators in the market (2020) |
| Telecommunication systems: | domestic: fixed line availability has not changed significantly since 1998, while mobile cellular subscribership, aided by competition among multiple operators, has expanded rapidly; coverage now extends to all major cities and towns; fixed-line 5 per 100 and mobile-cellular 112 per 100 (2019) |
| Telecommunication systems: | international: country code - 992; linked by cable and microwave radio relay to other CIS republics and by leased connections to the Moscow international gateway switch; Dushanbe linked by Intelsat to international gateway switch in Ankara (Turkey); 3 satellite earth stations - 2 Intelsat and 1 Orbita |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | state-run TV broadcasters transmit nationally on 9 TV and 10 radio stations, and regionally on 4 stations; 31 independent TV and 20 radio stations broadcast locally and regionally; many households are able to receive Russian and other foreign stations via cable and satellite (2016) |
| Internet country code: | .tj |
| Internet users: | total: 1,889,632 |
| Internet users: | percent of population: 21.96% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 6,000 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: less than 1 (2017 est.) |
