| Communications | Honduras |
| --- | --- |
| Telephones - main lines in use: | 825,800 (2008) |
| Telephones - mobile cellular: | 6.211 million (2008) |
| Telephone system: | general assessment: the number of fixed-line connections are increasing but still limited; competition among multiple providers of mobile-cellular services is contributing to a sharp increase in the number of subscribers |
| Telephone system: | domestic: beginning in 2003, private sub-operators allowed to provide fixed-lines in order to expand telephone coverage contributing to an increase in fixed-line teledensity to roughly 10 per 100 persons; mobile-cellular subscribership exceeded 80 per 100 persons in 2008 |
| Telephone system: | international: country code - 504; landing point for both the Americas Region Caribbean Ring System (ARCOS-1) and the MAYA-1 fiber optic submarine cable system that together provide connectivity to South and Central America, parts of the Caribbean, and the US; satellite earth stations - 2 Intelsat (Atlantic Ocean); connected to Central American Microwave System |
| Radio broadcast stations: | AM 241, FM 53, shortwave 12 (1998) |
| Television broadcast stations: | 11 (plus 17 repeaters) (1997) |
| Internet country code: | .hn |
| Internet hosts: | 15,691 (2009) |
| Internet users: | 658,500 (2008) |
