| Communications | Mayotte |
| --- | --- |
| Telephones - main lines in use: | 10,000 (2009) |
| Telephones - mobile cellular: | 48,100 (2005) |
| Telephone system: | general assessment: small system administered by French Department of Posts and Telecommunications |
| Telephone system: | domestic: NA |
| Telephone system: | international: country code - 262; microwave radio relay and HF radiotelephone communications to Comoros |
| Broadcast media: | the publicly-owned French Overseas Network (RFO), which operates in France's overseas departments and territories, broadcasts over the RFO Mayotte television and radio station (2008) |
| Internet country code: | .yt |
| Internet hosts: | 1 (2010) |
