| Communications | Lebanon |
| --- | --- |
| Telephones - main lines in use: | 750,000 (2009) |
| Telephones - mobile cellular: | 1.526 million (2009) |
| Telephone system: | general assessment: repair of the telecommunications system, severely damaged during the civil war, now complete |
| Telephone system: | domestic: two mobile-cellular networks provide good service; combined fixed-line and mobile-cellular subscribership exceeds 55 per 100 persons |
| Telephone system: | international: country code - 961; submarine cable links to Cyprus, Egypt, and Syria; satellite earth stations - 2 Intelsat (1 Indian Ocean and 1 Atlantic Ocean); coaxial cable to Syria (2009) |
| Broadcast media: | 7 TV stations in operation, 1 of which is state-owned; more than 30 radio stations, 1 of which is state-owned; satellite and cable TV services are available; transmissions of at least 2 international broadcasters are accessible through partner stations (2007) |
| Internet country code: | .lb |
| Internet hosts: | 51,451 (2010) |
| Internet users: | 1 million (2009) |
