| Communications | Botswana |
| --- | --- |
| Telephones - main lines in use: | 131,000 (September 2001) |
| Telephones - mobile cellular: | 270,000 (September 2001) |
| Telephone system: | general assessment: the system is expanding with the growth of mobile cellular service and participation in regional development |
| Telephone system: | domestic: small system of open-wire lines, microwave radio relay links, and a few radiotelephone communication stations; mobile cellular service is growing fast |
| Telephone system: | international: two international exchanges; digital microwave radio relay links to Namibia, Zambia, Zimbabwe, and South Africa; satellite earth station - 1 Intelsat (Indian Ocean) |
| Radio broadcast stations: | AM 8, FM 13, shortwave 4 (2001) |
| Radios: | 252,720 (2000) |
| Television broadcast stations: | 1 (2001) |
| Televisions: | 31,000 (1997) |
| Internet country code: | .bw |
| Internet Service Providers (ISPs): | 11 (2001) |
| Internet users: | 33,000 (2001) |
