| Communications | BOTSWANA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 142,122 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 6 (July 2016 est.) |
| Telephones - mobile cellular: | total: 3,288,986 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 149 (July 2016 est.) |
| Telephone system: | general assessment: Botswana is participating in regional development efforts; expanding fully digital system with fiber-optic cables linking the major population centers in the east as well as a system of open-wire lines, microwave radio relays links, and radiotelephone communication stations; the Botswana Telecommunications Corporation is rolling out 4G service to over 95 sites in the country that will improve network connectivity |
| Telephone system: | domestic: fixed-line teledensity has declined in recent years and now stands at roughly 6 telephones per 100 persons; mobile-cellular teledensity now pushing 150 telephones per 100 persons |
| Telephone system: | international: country code - 267; international calls are made via satellite, using international direct dialing; 2 international exchanges; digital microwave radio relay links to Namibia, Zambia, Zimbabwe, and South Africa; satellite earth station - 1 Intelsat (Indian Ocean) (2016) |
| Broadcast media: | 2 TV stations - 1 state-owned and 1 privately owned; privately owned satellite TV subscription service is available; 2 state-owned national radio stations; 3 privately owned radio stations broadcast locally (2007) |
| Internet country code: | .bw |
| Internet users: | total: 869,610 |
| Internet users: | percent of population: 39.4% (July 2016 est.) |
