| Communications | Gambia, The |
| --- | --- |
| Telephones - main lines in use: | 48,900 (2008) |
| Telephones - mobile cellular: | 1.166 million (2008) |
| Telephone system: | general assessment: adequate; a packet switched data network is available; state-owned Gambia Telecommunications partially privatized in 2007 |
| Telephone system: | domestic: adequate network of microwave radio relay and open-wire; combined fixed-line and mobile-cellular teledensity reached 70 telephones per 100 persons in 2008 |
| Telephone system: | international: country code - 220; microwave radio relay links to Senegal and Guinea-Bissau; satellite earth station - 1 Intelsat (Atlantic Ocean) (2008) |
| Radio broadcast stations: | AM 3, FM 2, shortwave 0 (2001) |
| Television broadcast stations: | 1 (government-owned) (1997) |
| Internet country code: | .gm |
| Internet hosts: | 895 (2009) |
| Internet users: | 114,200 (2008) |
