| Communications | Yemen |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 1,165,828 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 4 (July 2016 est.) |
| Telephones - mobile cellular: | total subscriptions: 16,433,055 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 59 (July 2016 est.) |
| Telephone system: | general assessment: due toÂ 75% of population needing humanitarian assistance, andÂ given the civil conflict, telecommunications services are vital but disrupted; mobile towers are often deliberately targeted; maintenance is dangerous to staff; aid organization rely on satellite and radio communications; scarcity of telecommunications equipment in rural areas (2018) |
| Telephone system: | domestic: the national network consists of microwave radio relay, cable, tropospheric scatter, GSM and CDMA mobile-cellular telephone systems; fixed-line teledensity remains low by regional standards at 4 per 100Â but mobile cellular use expanding at 59 per 100 (2018) |
| Telephone system: | international: country code - 967; landing point for the international submarine cable Fiber-Optic Link Around the Globe (FLAG); satellite earth stations - 3 Intelsat (2 Indian Ocean and 1 Atlantic Ocean), 1 Intersputnik (Atlantic Ocean region), and 2 Arabsat; microwave radio relay to Saudi Arabia and Djibouti |
| Broadcast media: | state-run TV with 2 stations; state-run radio with 2 national radio stations and 5 local stations; stations from Oman and Saudi Arabia can be accessed |
| Internet country code: | .ye |
| Internet users: | total: 6,732,928 |
| Internet users: | percent of population: 24.6% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 430,400 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 2 (2017 est.) |
