| Communications | Burma |
| --- | --- |
| Telephones - main lines in use: | 829,000 (2008) |
| Telephones - mobile cellular: | 375,800 (2008) |
| Telephone system: | general assessment: meets minimum requirements for local and intercity service for business and government |
| Telephone system: | domestic: system barely capable of providing basic service; cellular phone system is grossly underdeveloped with a subscribership base of less than 1 per 100 persons |
| Telephone system: | international: country code - 95; landing point for the SEA-ME-WE-3 optical telecommunications submarine cable that provides links to Asia, the Middle East, and Europe; satellite earth stations - 2, Intelsat (Indian Ocean) and ShinSat (2008) |
| Radio broadcast stations: | AM 1, FM 2, shortwave 3 (2007) |
| Television broadcast stations: | 4 (2008) |
| Internet country code: | .mm |
| Internet hosts: | 128 (2009) |
| Internet users: | 108,900 (2008) |
