| Communications | BURKINA FASO |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 75,075 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (July 2015 est.) |
| Telephones - mobile cellular: | total: 14.447 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 76 (July 2015 est.) |
| Telephone system: | general assessment: system includes microwave radio relay, open-wire, and radiotelephone communication stations |
| Telephone system: | domestic: fixed-line connections stand at less than 1 per 100 persons; mobile-cellular usage, fostered by multiple providers, is increasing steadily from a low base |
| Telephone system: | international: country code - 226; satellite earth station - 1 Intelsat (Atlantic Ocean) (2015) |
| Broadcast media: | 2 TV stations - 1 state-owned and 1 privately owned; state-owned radio runs a national and regional network; substantial number of privately owned radio stations; transmissions of several international broadcasters available in Ouagadougou (2007) |
| Internet country code: | .bf |
| Internet users: | total: 2.156 million |
| Internet users: | percent of population: 11.4% (July 2015 est.) |
