| Communications | Liechtenstein |
| --- | --- |
| Telephones - main lines in use: | 19,600 (2010) |
| Telephones - mobile cellular: | 35,500 (2010) |
| Telephone system: | general assessment: automatic telephone system |
| Telephone system: | domestic: fixed-line and mobile-cellular services widely available; combined telephone service subscribership exceeds 150 per 100 persons |
| Telephone system: | international: country code - 423; linked to Swiss networks by cable and microwave radio relay (2008) |
| Broadcast media: | relies on foreign terrestrial and satellite broadcasters for most broadcast media services; first Liechtenstein-based television station established August 2008; Radio Liechtenstein operates multiple radio stations; a Swiss-based broadcaster operates several radio stations in Liechtenstein (2008) |
| Internet country code: | .li |
| Internet hosts: | 9,418 (2010) |
| Internet users: | 23,000 (2009) |
