| Communications | Liechtenstein |
| --- | --- |
| Telephones - main lines in use: | 20,000 (2012) |
| Telephones - mobile cellular: | 38,000 (2012) |
| Telephone system: | general assessment: automatic telephone system |
| Telephone system: | domestic: fixed-line and mobile-cellular services widely available; combined telephone service subscribership exceeds 150 per 100 persons |
| Telephone system: | international: country code - 423; linked to Swiss networks by cable and microwave radio relay (2011) |
| Broadcast media: | relies on foreign terrestrial and satellite broadcasters for most broadcast media services; first Liechtenstein-based TV station established August 2008; Radio Liechtenstein operates multiple radio stations; a Swiss-based broadcaster operates several radio stations in Liechtenstein (2008) |
| Internet country code: | .li |
| Internet hosts: | 14,278 (2012) |
| Internet users: | 23,000 (2009) |
