| Communications | LIECHTENSTEIN |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 17,184 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 46 (July 2015 est.) |
| Telephones - mobile cellular: | total: 41,000 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 108 (July 2015 est.) |
| Telephone system: | general assessment: automatic telephone system |
| Telephone system: | domestic: fixed-line and mobile-cellular services widely available; combined telephone service subscribership exceeds 150 per 100 persons |
| Telephone system: | international: country code - 423; linked to Swiss networks by cable and microwave radio relay (2015) |
| Broadcast media: | relies on foreign terrestrial and satellite broadcasters for most broadcast media services; first Liechtenstein-based TV station established August 2008; Radio Liechtenstein operates multiple radio stations; a Swiss-based broadcaster operates several radio stations in Liechtenstein (2008) |
| Internet country code: | .li |
| Internet users: | total: 36,000 |
| Internet users: | percent of population: 96.6% (July 2015 est.) |
