| Communications | BELGIUM |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 4,488,711 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 40 (July 2015 est.) |
| Telephones - mobile cellular: | total: 12.938 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 114 (July 2015 est.) |
| Telephone system: | general assessment: highly developed, technologically advanced, and completely automated domestic and international telephone and telegraph facilities |
| Telephone system: | domestic: nationwide mobile-cellular telephone system; extensive cable network; limited microwave radio relay network |
| Telephone system: | international: country code - 32; landing point for a number of submarine cables that provide links to Europe, the Middle East, and Asia; satellite earth stations - 7 (Intelsat - 3) (2015) |
| Broadcast media: | a segmented market with the three major communities (Flemish, French, and German-speaking) each having responsibility for their own broadcast media; multiple TV channels exist for each community; additionally, in excess of 90% of households are connected to cable and can access broadcasts of TV stations from neighboring countries; each community has a public radio network coexisting with private broadcasters (2007) |
| Internet country code: | .be |
| Internet users: | total: 9.631 million |
| Internet users: | percent of population: 85% (July 2015 est.) |
