| Communications | Belgium |
| --- | --- |
| Telephones - main lines in use: | 4.631 million (2012) |
| Telephones - mobile cellular: | 12.88 million (2012) |
| Telephone system: | general assessment: highly developed, technologically advanced, and completely automated domestic and international telephone and telegraph facilities |
| Telephone system: | domestic: nationwide mobile-cellular telephone system; extensive cable network; limited microwave radio relay network |
| Telephone system: | international: country code - 32; landing point for a number of submarine cables that provide links to Europe, the Middle East, and Asia; satellite earth stations - 7 (Intelsat - 3) (2007) |
| Broadcast media: | a segmented market with the three major communities (Flemish, French, and German-speaking) each having responsibility for their own broadcast media; multiple TV channels exist for each community; additionally, in excess of 90% of households are connected to cable and can access broadcasts of TV stations from neighboring countries; each community has a public radio network co-existing with private broadcasters (2007) |
| Internet country code: | .be |
| Internet hosts: | 5.192 million (2012) |
| Internet users: | 8.113 million (2009) |
